Range GridFID=A3:B895,,FIDRangeXY is $B$4:$E$895,,,,,,,,,Range=TimeRange,,Range=Hourttime,
Range Name AddressXY,,,,,,,Range Name CASE#FID,,,,00:00,T1,0,T1
Adress,FID,Building Name,X,Y,,,Case,FID,Signal,,0.083333,T2,2,T2
BB15,158,grid BB15,893168.88600000006,503827.272,,,07000790,###,25f,,,,,
BB16,159,grid BB16,893255.96799999999,503730.55800000002,,,07000794,###,#N/A,,,,,
BB17,160,grid BB17,893335.21600000001,503651.80599999998,,,07000794,###,35j,,,,,
BB18,161,grid BB18,893425.76699999999,503543.26699999999,,,07000807,###,#N/A,,,,,
BB19,162,grid BB19,893506.19099999999,503461.01699999999,,,07000807,###,28,,,,,
BB21,163,grid BB21,893658.20499999996,503283.82799999998,,,07000809,###,#N/A,,,,,
BB22,164,grid BB22,893749.89300000004,503194.26,,,07000809,###,14tpw,,,,,
BB23,165,grid BB23,893832.82900000003,503099.15100000001,,,07000811,###,#N/A,,,,,
BB24,166,grid BB24,893919.91099999996,503002.43699999998,,,07000811,###,54,,,,,
BB25,167,grid BB25,894002.84600000002,502910.32799999998,,,07000816,###,#N/A,,,,,
BB26,168,grid BB26,894077.03,502818.67700000003,,,07000816,###,27,,,,,
BB27,954,grid BB27,894166.76300000004,502730.12300000002,,,07000820,###,#N/A,,,,,
BB28,955,grid BB28,894239.76800000004,502649.04300000001,,,07000820,###,27,,,,,
C21,169,grid C21,891406.88399999996,501251.14199999999,,,07000821,###,#N/A,,,,,
C22,170,grid C22,891506.93700000003,501160.13400000002,,,07000821,###,14tpw,,,,,
C23,171,grid C23,891577.98300000001,501061.11700000003,,,07000822,###,#N/A,,,,,
C24,172,grid C24,891658.24199999997,500988.91200000001,,,07000822,###,14,,,,,
C27,904,grid C27,891915.96,500701.99599999998,,,07000823,###,#N/A,,,,,
C28,905,grid C28,891990.36199999996,500622.08299999998,,,07000823,###,27,,,,,
CC10,173,grid CC10,892855.07,504370.29499999998,,,07000824,###,#N/A,,,,,
CC11,174,grid CC11,892952.28899999999,504257.32699999999,,,07000824,###,#N/A,,,,,
CC12,175,grid CC12,893021.00100000005,504183.50799999997,,,07000824,###,54,,,,,
CC13,176,grid CC13,893099.07700000005,504104.50900000002,,,07000824,###,32,,,,,
CC14,177,grid CC14,893187.27099999995,504010.61099999998,,,07000835,###,#N/A,,,,,
CC15,178,grid CC15,893266.06,503923.10700000002,,,07000835,###,14tpw,,,,,
CC16,179,grid CC16,893356.83,503813.03499999997,,,07000837,###,#N/A,,,,,
CC17,180,grid CC17,893431.47199999995,503730.136,,,07000837,###,#N/A,,,,,
CC18,181,grid CC18,893524.25699999998,503631.94799999997,,,07000837,###,41,,,,,
CC19,182,grid CC19,893580.29700000002,503555.58799999999,,,07000837,###,41,,,,,
CC20,183,grid CC20,893681.196,503471.31300000002,,,07000840,###,#N/A,,,,,
CC22,184,grid CC22,893847.75300000003,503274.16899999999,,,07000840,###,32,,,,,
CC23,185,grid CC23,893933.69,503181.62800000003,,,07000841,###,#N/A,,,,,
CC24,186,grid CC24,894020.772,503084.913,,,07000841,###,14tpw,,,,,
CC25,187,grid CC25,894090.80900000001,502997.86800000002,,,07000843,###,#N/A,,,,,
CC26,188,grid CC26,894173.74399999995,502905.75900000002,,,07000843,###,35j,,,,,
CC27,956,grid CC27,894257.147,502811.50599999999,,,07000846,###,#N/A,,,,,
CC28,957,grid CC28,894331.61300000001,502734.14799999999,,,07000846,###,35j,,,,,
D19,189,grid D19,891377.38800000004,501524.50599999999,,,07000849,###,#N/A,,,,,
D20,190,grid D20,891434.85499999998,501421.20500000002,,,07000849,###,35,,,,,
D21,191,grid D21,891510.90099999995,501326.69,,,07000853,###,#N/A,,,,,
D22,192,grid D22,891596.94900000002,501241.18099999998,,,07000853,###,27,,,,,
D24,193,grid D24,891745.03700000001,501066.65600000002,,,07000859,###,#N/A,,,,,
D27,906,grid D27,892015.75100000005,500786.95199999999,,,07000859,###,14tpw,,,,,
D28,907,grid D28,892081.36199999996,500711.36499999999,,,07000863,###,#N/A,,,,,
DD10,194,grid DD10,892946.59699999995,504456.70799999998,,,07000863,###,18,,,,,
DD11,195,grid DD11,893021.81299999997,504350.69400000002,,,07000874,###,#N/A,,,,,
DD14,196,grid DD14,893269.64099999995,504093.717,,,07000874,###,14tpw,,,,,
DD15,197,grid DD15,893359.07,503992.174,,,07000875,###,#N/A,,,,,
DD16,198,grid DD16,893446.69099999999,503894.86200000002,,,07000875,###,27,,,,,
DD17,199,grid DD17,893522.88199999998,503810.24300000002,,,07000881,###,#N/A,,,,,
DD18,200,grid DD18,893607.14099999995,503723.93800000002,,,07000881,###,41,,,,,
DD19,201,grid DD19,893698.95799999998,503637.74099999998,,,07000885,###,#N/A,,,,,
DD20,202,grid DD20,893770.92500000005,503543.272,,,07000885,###,16,,,,,
DD21,203,grid DD21,893854.31499999994,503442.15,,,07000886,###,#N/A,,,,,
DD22,204,grid DD22,893942.35600000003,503352.87900000002,,,07000886,###,27,,,,,
DD23,205,grid DD23,894010.50699999998,503268.68099999998,,,07000889,###,#N/A,,,,,
DD24,206,grid DD24,894094.31700000004,503175.6,,,07000889,###,#N/A,,,,,
DD25,207,grid DD25,894189.55700000003,503069.826,,,07000889,###,34,,,,,
DD26,208,grid DD26,894278.02,502988.59499999997,,,07000889,###,27,,,,,
DD27,958,grid DD27,894355.24199999997,502895.01699999999,,,07000893,###,#N/A,,,,,
DD28,959,grid DD28,894424.65599999996,502817.924,,,07000893,###,14tpw,,,,,
DD9,209,grid DD9,892875.41099999996,504535.76699999999,,,07000896,###,#N/A,,,,,
E18,210,grid E18,891372.77399999998,501691.28100000002,,,07000896,###,14tpw,,,,,
E19,211,grid E19,891448.821,501596.766,,,07000897,###,#N/A,,,,,
E20,212,grid E20,891529.86800000002,501506.755,,,07000897,###,54,,,,,
E21,213,grid E21,891614.91899999999,501402.239,,,07000898,###,#N/A,,,,,
